Title3,Following Perseus,Greek,English,Benjamin_Jowett,Schleiermacher,Rahimi,Nikpour,Shojaian,Mohammadi,Mahmoodzadeh,Asimi,1st final translation,2nd final translation,3rd final translation,Kazeminia
0059-003|40.|Cr.44c.2.,0059-003|35.|Cr.44b.3.,καίτοι τίς ἂν αἰσχίων εἴη ταύτης δόξα ἢ δοκεῖν χρήματα περὶ πλείονος ποιεῖσθαι ἢ φίλους; ,And yet what reputation could be more disgraceful than that of considering one's money of more importance than one's friends?,"Now, can there be a worse disgrace than this- that I should be thought to value money more than the life of a friend?","Und was für einen schlechteren Ruf könnte es wohl geben, als dafür angesehen sein, daß man das Geld höher achte als die Freunde. ",و افزون بر این چه چیز ننگین‌تر از شهره بودن به اینکه فزونی پول در نظرم اولی‌تر از دوستی است؟ ,"با این اوصاف , کدام حیثیت ممکن است رسواتر از این باشد که پاسداشت پول را مهمتر از عزیزان در نظر آوریم .",و همچنین چه شرم آور تر از آن باشد که [ چنین ] پندار عوامانه ای انگاشته شود پول را به دوستان ترجیح داده ام؟,و نیز چه پنداری شرمگین‌تر از این می‌بود که ثروت والاتر (مهتر) از دلبندان نهاده و انگاشته شود؟,وانگهی چه وجهه ایی ننگین تر از این باشد که مادیات را گرامی تر از یاران انگاشتن و شمردن ؟ ,و با این حال کدام بدنامی رسواتر از برتر نهادن مال از دوستان است ؟,وانگهی چه وجهه ایی ننگین‌تر از این باشد که مادیات را گرامی تر از یاران انگاشتن؟ ,و با این حال کدام بدنامی رسواتر از برتر نهادن مال از دوستان است؟,و افزون بر این چه چیز ننگین‌تر از شهره بودن به اینکه پول در نظرم اولی‌تر از عزیزانم است؟ ,و تاکنون چه چیز ننگین تر از این نام باشد که دارایی ها را بیش تر ازعزیزان ارج نهادن پنداشتن؟ 
0059-003|41.|Cr.44c.3.,0059-003|35.|Cr.44b.3.,οὐ γὰρ πείσονται οἱ πολλοὶ ὡς σὺ αὐτὸς οὐκ ἠθέλησας ἀπιέναι ἐνθένδε ἡμῶν προθυμουμένων.,"For most people will not believe that we were eager to help you to go away from here, but you refused.","For the many will not be persuaded that I wanted you to escape, and that you refused.","Denn das werden die Leute nicht glauben, daß du selbst nicht weggehn gewollt habest, wiewohl wir Alles dazu getan.","چراکه بیشترین مردمان باور نخواهند کرد که تو خود رهایی از اینجا را نخواسته‌ باشی , [ آنچه ] در تکاپوی‌اش هستیم .",چراکه عموم مردم قانع نمی‌شوند که تو خود نخواستی ــ ما مشتاق [ بودیم ] ــ از اینجا بروی .,زیرا بیشتر مردمان خرسند نخواهند کرد که تو خود نپذیرفتی تا از اینجا بگریزی ; [ درحالیکه ] ما مشتاق [ کمک به تو ] بودیم .,برای اینکه بسیاری قانع نخواهند شد (باور نخواهند کرد) که ما مشتاق رهانیدن [ات] (آزاد کردن‌ات – فراری دادن‌ات) از اینجا بودیم اما تو خود مایل نبودی.,زیرا مردمان مجاب نخواهند شد که با وجودِ خواستن ما برای رهاندن ات از این جا تو خود رضا بدین نداشته ایی .,زیرا بسیار کسان در نخواهند یافت که تو خود علی رغم اصرارهای ما از ترک اینجا امتناع ورزیدی .,زیرا مردمان مجاب نخواهند شد که با وجودِ اشتیاق ما برای رهاندن‌ات از این جا تو خود رضا بدین نداشته‌ای.,زیرا بسیار کسان در نخواهند یافت که تو خود علی رغم اصرارهای ما از ترک اینجا امتناع ورزیدی.,زیرا عوام نخواند پذیرفت که تو خود نخواستی و ما مشتاق بودیم که از اینجا بروی.,چرا که مردم نخواهند پذیرفت که تو خودت نخواستی از اینجا بروی ; [ گرچه ] ما می خواستیم .
0059-003|42.|Cr.44c.4.,0059-003|39.|Cr.44c.1.,"Σωκράτης. ἀλλὰ τί ἡμῖν, ὦ μακάριε Κρίτων, οὕτω τῆς τῶν πολλῶν δόξης μέλει; ","Socrates. But, my dear Crito, why do we care so much for what most people think? ","Soc. But why, my dear Crito, should we care about the opinion of the many? ","Sokrates: Aber du guter Kriton, was soll uns doch die Meinung der Leute so sehr kümmern? ","اما ای کریتون گرامی , چرا ما تا این حد به پندار عموم اهمیت می‌دهیم؟ ",اما کریتون گرامی چرا برای ما اینقدر پندارهای عموم مردم مهم است؟,"اما , ای کریتون گرامی , چرا ما این چنین [ باید ] دلواپس پندار مردمان باشیم ؟","اما چرا , ای کریتون عزیز , ما به اینگونه افکار عموم ارزش قائل می‌شویم ؟ ( اهمیت می‌دهیم ) ",سقراط : اما ای کریتون گرانقدر از چه روی ما تا بدین حد به تصورات مردمان بها دهیم ؟,اما چرا برای ما ای کریتون گرامی رأی مردمان چنین مهم باشد ؟ ,سقراط: اما ای کریتون گرامی، چرا ما تا این حد به پندار عموم اهمیت می‌دهیم؟ ,سقراط: اما ای کریتون گرانقدر از چه روی ما تا بدین حد به تصورات مردمان بها دهیم ؟,سقراط: اما ای کریتون گرامی، چرا چنین به پندار‌های عوام اعتنا می‌کنیم؟,"اما ای کریتونِ ارجمند . چرا حکمِ عوام تا این اندازه بر ما اثرمی گذارد؟
"
0059-003|43.|Cr.44d.1.,0059-003|39.|Cr.44c.1.,"οἱ γὰρ ἐπιεικέστατοι, ὧν μᾶλλον ἄξιον φροντίζειν, ἡγήσονται αὐτὰ οὕτω πεπρᾶχθαι ὥσπερ ἂν πραχθῇ.","For the most reasonable men, whose opinion is more worth considering, will think that things were done as they really will be done.","Good men, and they are the only persons who are worth considering, will think of these things truly as they happened.","Denn die Besseren auf welche es eher lohnt Bedacht zu nehmen werden schon glauben, es sei so gegangen wie es gegangen ist.","چراکه داناترین مردمان , آنها که بیشتر شایسته توجه‌اند , چنان می‌اندیشند که چیزها همانگونه به انجام رسیده‌اند که حقیقت‌شان بوده است .","چراکه عاقل‌ترینِ مردم , که بیشتر ارزش درنگریستن [ دارند ] , بر این رأی خواهند بود که چیزها همانطور که باید به انجام برسند به سرانجام رسیدند .","زیراکه خردمندترین مردمان , که فضیلتمندانه تر [ به امور ] توجه دارند , درخواهند یافت [ که ] امور همانطور انجام میشوند که باید انجام شوند .","چرا که فاضل‌ترین آنان ( خواص جامعه ) , که افکارشان بسیار ارزشمند تلقی می‌شود , چیزهایی که اینگونه اتفاق افتاده ( اینگونه اتفاقات ) را همان‌طور که رخ داده‌اند درک خواهند کرد .",زیرا برترین آنان که بیشتر در خور اعتنا کردن اند بر اینگونه حادث شدن رخدادها بدان سان که می بایست وقوع یابند صحه خواهند گذاشت .,زیرا خردمندترین ها شان که شایسته توجه اند خود خواهند دانست گذشتن امور را همانگونه که گذشت .,زیرا برترین آنان که بیشتر در خور اعتنا کردن‌اند، وقوع رخدادها را بدان سان که وقوع خواهند یافت درک خواهند کرد.,چراکه داناترین مردمان، آنها که [ پندارهایشان] بیشتر شایسته‌ی توجه‌ است، اتفاقات را همان گونه به انجام رسیده‌اند در خواهند یافت.,زیرا خردمندترین آنها، که بیشتر ارزش درنگریستن [دارند]، رخ دادن امور را همانگونه که رخ داده‌اند درک خواهند کرد.,"عاقل ترینان , آنان که شایستۀ توجهی درخور اند , خواهند دانست که چیزها چونان که باید رخ می دهند ."
0059-003|44.|Cr.44d.2.,0059-003|43.|Cr.44d.1.,"Κρίτων. ἀλλ᾽ ὁρᾷς δὴ ὅτι ἀνάγκη, ὦ Σώκρατες, καὶ τῆς τῶν πολλῶν δόξης μέλειν. ","Crito. But you see it is necessary, Socrates, to care for the opinion of the public,","Cr. But do you see. Socrates, that the opinion of the many must be regarded, ","Kriton: Aber du siehst doch nun, Sokrates, daß es nötig ist auch um der Leute Meinung sich zu kümmern. ","اما ای سقراط , شاهد آن ضرورت هستی , اهمیت دادن بیشتر به عقیده اکثریت .",,"لیکن , ای سقراط , برای تو مشهود است که می باید به پندار مردمان توجه کرد . ","حال و اما می‌بینی که برای افکار عموم , ای سقراط , باید ( می‌بایست ) ارزش قائل شد ",کریتون : اما ای سقراط ! ضرورتِ بها دادن به عقیده‌ی مردمان را نیز در واقع می‌بینی .,اما ای سقراط می بینی این ناگزیر است که رأی مردمان چنین مهم باشد . ,کریتون: اما ای سقراط، ضرورت اهمیت دادن به پندارهای عموم را می‌بینی.,کریتون: اما ای سقراط !حال می‌بینی که باید به تصورات مردمان بها داد.,کریتون: اما ای سقراط، ضرورت اعتنا کردن به پندارهای عوام را می‌بینی .,اما میبینی که بایستی ای سقراط به حکمِ عوام توجه داشت . 
0059-003|45.|Cr.44d.3.,0059-003|43.|Cr.44d.1.,"αὐτὰ δὲ δῆλα τὰ παρόντα νυνὶ ὅτι οἷοί τ᾽ εἰσὶν οἱ πολλοὶ οὐ τὰ σμικρότατα τῶν κακῶν ἐξεργάζεσθαι ἀλλὰ τὰ μέγιστα σχεδόν, ἐάν τις ἐν αὐτοῖς διαβεβλημένος ᾖ.","for this very trouble we are in now shows that the public is able to accomplish not by any means the least, but almost the greatest of evils, if one has a bad reputation with it.","as is evident in your own case, because they can do the very greatest evil to anyone who has lost their good opinion?","Eben das gegenwärtige zeigt ja genug, daß die Leute wohl vermögen nicht das kleinste Übel nur zuzufügen, sondern wohl das größte, wenn Jemand bei ihnen verläumdet ist.","اکنون این نزد ما آشکار است که اگر کسی در میانشان بی‌اعتبارشده باشد , اکثریت می‌توانند نه هر بدی کوچک بلکه شاید بزرگترین‌‌ [ بدی‌ها ] را درحق او مرتکب شوند .",,"و اکنون آشکارا مصیبی عظیم است که مردمان که توانا هستند [ تا ] نه اندکی بلکه تقریباً شری سترگ به انجام دهند , چنانچه شخصی به اینگونه رسوا شود .",". به راستی از همین رخداد ( وضعیت ) کنونی عیان ( آشکار ) است که اگر کسی در مقام اتهام قرار گرفته باشد , عموم مردم می‌توانند نه با کوچکترین شرها , بلکه کمابیش با بزرگترین [ شرها ] ویرانش سازند . ( نابودش کنند )",اوضاع پیش آمده‌ی کنونی خود مبیّن این است که مردمان اگر یکی در بین‌شان مورد تهمت قرار گرفته باشد نه به پیش‌پا افتاده‌ترین‌ها که تا چه حد به انجام دادن کمابیش بدترینِ شرارت‌ها‌ توانایند .,وضعیت کنونی خود روشن می سازد که مردمان قادرند نه کوچکترین که کمابیش بزرگترین شُرور را به انجام رسانند اگر فرد خود مورد افترای ایشان باشد .,اوضاع پیش آمده‌ی کنونی خود مبیّن این است که عموم مردم اگر کسی در بین‌شان مورد تهمت قرار گرفته باشد نه به کوچکترین‌ شرارت‌ها ، بلکه کمابیش به انجام دادن بزرگ‌ترین‌شان نیز توانایند .,وضعیت کنونی خود روشن می سازد که اگر فردی خود مورد افترای مردمان باشد، قادرند نه کوچکترین که کمابیش بزرگترین شُرور را به انجام رسانند.,"اکنون آشکار است که اگر کسی در میانشان بی‌اعتبارشده باشد , عوام می‌توانند نه کوچکترین شرها , بلکه کمابیش بزرگترین [ شرها ] را در حق او مرتکب شوند.","به خاطرِ این وضعِ آشکار کنونی که مردم نه کوچکترینِ بدی ها که تقریبا می توانند بزرگترین اش را انجام دهند , اگر کسی نزدشان بدنام باشد ."
0059-003|46.|Cr.44d.4.,0059-003|44.|Cr.44d.2.,"Σωκράτης. εἰ γὰρ ὤφελον, ὦ Κρίτων, οἷοί τ᾽ εἶναι οἱ πολλοὶ τὰ μέγιστα κακὰ ἐργάζεσθαι, ἵνα οἷοί τ᾽ ἦσαν καὶ ἀγαθὰ τὰ μέγιστα, καὶ καλῶς ἂν εἶχεν. ","Socrates. I only wish, Crito, the people could accomplish the greatest evils, that they might be able to accomplish also the greatest good things.  Then all would be well.","Soc. I only wish, Crito, that they could; for then they could also do the greatest good, and that would be well. ","Sokrates: Möchten sie nur, o Kriton, das größte Übel zuzufügen vermögen, damit sie auch das größte Gut vermöchten. Das wäre ja vortrefflich! ","ای کریتون , کاش اکثریت می توانستند بزرگترین بدی‌ها را به انجام رسانند , دراینصورت قادر بودند درواقع بزرگترین نیکی‌ها و زیبایی‌ها را فرآهم آورند .",,"ای کریتون , از این رو امیدوار بودم [ که ] مردمان میتوانستند تا شری سترگ انجام دهند تا نیز توانا می بودند [ بر انجام ] مهترین امور خیر ; و [ آنگاه ] نیکو بود .","ای‌کاش می‌شد , ای کریتون , عموم مردم که می‌توانند بزرگترین بدی‌ها را انجام دهند , نیز بتوانند بزرگترین خوبی‌ها را انجام دهند , و نیکی پابرجا می‌شد .", ای کریتون ! کاش مردمان به انجام دادن بدترین شرارت ها قادر بودند تا بتوانند بزرگ ترین نیکی ها را انجام دهند و این کاری پسندیده می بود . ,,سقراط: ای کریتون ! کاش عموم مردم به انجام دادن بدترین شرارت‌ها قادر بودند تا بتوانند بزرگ ترین نیکی‌ها را انجام دهند و این کاری پسندیده می‌بود . ,سقراط: ای کریتون، امیدوار بودم مردمان می‌توانستند شری سترگ انجام دهند و در این صورت به [انجام] مهترین امور خیر نیز توانا می بودند، و چنین نیکو بود.,"سقراط: ای کریتون , کاش اکثریت می توانستند بزرگترین بدی‌ها را به انجام رسانند، در این صورت قادر بودند درواقع بزرگترین خوبی‌ها را نیز به انجام رسانند، و این نیکوست.",کاش عوام می توانستند بزرگترین بدی ها را برسانند ; که در این صورت بر [ رساندنِ ] بزرگترین خوبی ها نیز توانا بودند . و این نیکوست . 
0059-003|47.|Cr.44d.5.,0059-003|44.|Cr.44d.2.,νῦν δὲ οὐδέτερα οἷοί τε: , But now they can do neither of the two; ,"But the truth is, that they can do neither good nor evil: ",Nun aber vermögen sie keines von beiden. ,اما اکنون قادر به هیچ یک از آن دو نیستند : ,,لیکن اکنون نه هردو را میتوانند [ انجام دهند ] ; ,ولیکن اکنون نمی‌توانند هیچ یک از هر دو را انجام دهند :,"دریغا که اینک نه به انجام این توانا باشند نه به آن ,",,اما اکنون قادر به هیچ یک از آن دو نیستند:,دریغا که اینک هیچ یک را نمی‌توانند.,ولیکن اکنون نمی‌توانند هیچ یک از این دو را انجام دهند.,"اما همانطور که ذکر شد , هیچ یک را نمی توانند ."
0059-003|48.|Cr.44e.1.,0059-003|44.|Cr.44d.2.,"οὔτε γὰρ φρόνιμον οὔτε ἄφρονα δυνατοὶ ποιῆσαι, ποιοῦσι δὲ τοῦτο ὅτι ἂν τύχωσι.","for they are not able to make a man wise or foolish, but they do whatever occurs to them.",they cannot make a man wise or make him foolish; and whatever they do is the result of chance.,Denn weder vernünftig noch unvernünftig können sie machen; sondern sie machen nur was sich eben trifft.,"چراکه قادر نیستند [ کسی‌ را ] نه عاقل و نه احمق سازند , هر چه پیش‌آید انجام می‌دهند",,زیرا نمیتوانند [ کسی را ] نه فرزانه و نه نابخرد سازند بلکه آنچه برایشان حادث میشود انجام میدهند [ و نه چیزدیگر ] .,برای اینکه نه قادرند به دانا ساختن و نه نادان ساختن‌، بلکه هر چه که پیش‌آمده را انجام می‌دهند.,از این روی که احدی را نه خردمند کردن توانند و نه بی خرد . لیکن آنان خود را با هر آنچه رخ داده درگیر می کنند .,,چراکه قادر نیستند [ کسی‌ را ] نه دانا و نه نادان سازند، بلکه هر چه پیش‌آید همان می‌کنند.,از این روی که احدی را نه خردمند کردن توانند و نه بی‌خرد، لیکن آنچه را که بر ایشان حادث می‌شود انجام می‌دهند.,برای اینکه نه قادرند به دانا ساختن و نه نادان ساختن‌، بلکه هر چه که پیش‌آمده را انجام می‌دهند.,"چرا که قادر به خردمند یا نادان ساختنِ [ کسی ] نیستند , و آن ( قضاوت شان ) را ناآگاهانه انجام می دهند ."
0059-003|49.|Cr.44e.2.,0059-003|48.|Cr.44e.1.,Κρίτων. ταῦτα μὲν δὴ οὕτως ἐχέτω: ,Crito. That may well be. ,"Cr. Well, I will not dispute about that;",Kriton: Das mag immer so sein. ,پس بر این مبنا قابل درک است :,به‌راستی این‌چنین است . ,"ای سقراط , براستی این چنین است",به راستی اینگونه باشد. ,کریتون : باری بدین سان باشد . ,چنین بماند .,کریتون: باری بدین سان باشد. ,کریتون: به راستی این چنین است.,کریتون: به راستی این گونه باشد. ,
0059-003|50.|Cr.44e.3.,0059-003|48.|Cr.44e.1.,"τάδε δέ, ὦ Σώκρατες, εἰπέ μοι. ","But, Socrates, tell me this: ","but please to tell me, Socrates, ","Dies aber, Sokrates, sage mir, ",اما ای سقراط این را به من بگوی .,اما ای سقراط این را به من بگو,"لیکن این را به من بگو ,",لیک این را، ای سقراط، به من بگو.,"لیک ای سقراط با من این بگو , ","اما ای سقراط این را به من بگو ,",لیک ای سقراط با من این بگو،,اما ای سقراط این را به من بگو.,اما ای سقراط این را به من بگوی:,
0059-003|51.|Cr.44e.4.,0059-003|48.|Cr.44e.1.,"ἆρά γε μὴ ἐμοῦ προμηθῇ καὶ τῶν ἄλλων ἐπιτηδείων μή, ἐὰν σὺ ἐνθένδε ἐξέλθῃς, οἱ συκοφάνται ἡμῖν πράγματα παρέχωσιν ὡς σὲ ἐνθένδε ἐκκλέψασιν, καὶ ἀναγκασθῶμεν ἢ καὶ πᾶσαν τὴν οὐσίαν ἀποβαλεῖν ἢ συχνὰ χρήματα, ἢ καὶ ἄλλο τι πρὸς τούτοις παθεῖν; ","you are not considering me and your other friends, are you, fearing that, if you escape, the informers will make trouble for us by saying that we stole you away, and we shall be forced to lose either all our property or a good deal of money, or be punished in some other way besides? ","whether you are not acting out of regard to me and your other friends: are you not afraid that if you escape hence we may get into trouble with the informers for having stolen you away, and lose either the whole or a great part of our property; or that even a worse evil may happen to us?","ob du auch nicht etwa um mich besorgt bist, und um die anderen Freunde, daß nicht wenn du von hier weggingest, die Angeber uns Händel anrichten, weil wir dir heimlich fortgeholfen hätten, und wir dann entweder unser ganzes Vermögen dran geben müßten, oder doch vieles Geld, und vielleicht noch sonst etwas dazu erleiden. ","به هر روی مبادا که مرا و دیگر یاران‌ات را مراعات می‌کنی که اگر تو ازاینجا بگریزی آن جاسوسان برای ما گرفتاری ها به بار خواهند آورد چراکه تو را ازاینجا رهانیده‌ایم و مجبور خواهیم شد یا بیشتر همهٔ دارایی مان را از دست دهیم , یا دست‌کم پول فراوان , یا حتی در ازای آن چیز دیگری ( مرگ یا تبعید ) تاوان دهیم؟","که قطع ‌به یقین این‌طور نیست که ملاحظه‌ی من و دیگر دوستانت را کرده باشی , [ اینکه ] اگر تو از اینجا بگریزی , خبرچینان برای ما مخمصه درست خواهند کرد چراکه ما تو را از اینجا دزدیدیم , و احتمالاً وادار خواهیم شد به از دست دادن تمام دارایی یا بخش اعظمی از اموال , یا هر شکل دیگری از مجازات در راستای این‌ها؟ ","آیا من و دیگر دوستان خود را در نظر نمیگیری ؟ اگر از اینجا بگریزی , خبرچین ها باعث دردسر ما خواهند شد که تو را از اینجا ربوده ایم و مجبور خواهیم بود یا تمامی دارایی خویش را از دست دهیم یا رشوه ای هنگفت یا از برای آن , چیزی دیگر مجازات [ ما ] خواهد بود؟ ",نه من را در نظر می‌گیری و نه دیگر یارانت را، [آیا] اینطور است ؟ اگر تو از اینجا بروی، خبرچین‌ها برای ما دردسر ایجاد خواهند کرد که تو را از اینجا گریزاندیم و مجبور خواهیم شد که یا تمام هستی‌مان یا پول هنگفتی را از دست دهیم و یا به گونه‌ای دیگر به خاطر آن مجازات شویم. ,"مگر چنین نیست که من و دیگر یاران ات را ارج می نهی ؟ پنداری اگر تو از این جا بگریزی , چون تو را از این جا ربوده ایم *سوکُفانتِس‌ها برای ما گرفتاری ها به بار آورند و ناگزیر شویم به از کف دادن همه ی دار و ندار یا بخش بزرگی از ثروت مان , و یا افزون بر این ها مجازات شدن به هر طریق دیگر ,",نه مگر تو به من و به سایر دوستان ات اعتنایی نمی کنی؟ چون می پنداری اگر تو از اینجا برون آیی سخن چینان به ما آزار خواهند رساند چرا که تو را از اینجا ربوده و برده ایم . و مجبور شویم که یا همه دارایی خود و یا مال بسیار دربازیم و یا به نوعی دیگر مجازات شویم .,,,,
0059-003|52.|Cr.45a.1.,0059-003|48.|Cr.44e.1.,"εἰ γάρ τι τοιοῦτον φοβῇ, ἔασον αὐτὸ χαίρειν: ","For if you are afraid of anything of that kind, let it go; ","Now, if this is your fear, be at ease;","Denn wenn du dergleichen etwas fürchtest, das laß gut sein.","اگر برای هر آن چیزی از این قسم واهمه داری , بپذیر که آن را از ذهن کنار بگذاری : ","زیرا اگر از هرکدامِ این موارد می‌ترسی , بگذار از [ قیدوبند ] این موضوع خلاص شوی . ","اگر از چنین چیزی می هراسی , خود را رهایی ده ;",چرا که اگر ترسی همانند این داری، آسوده خاطر باش. (رهایش کن – از فکرت بیرون کن),"پس اگر بیم این چیزها داری , فرو بگذارش ; ",اگر از چنین چیزی هراسناکی رها کردن اش روا دار .,,,,
0059-003|53.|Cr.45a.2.,0059-003|48.|Cr.44e.1.,ἡμεῖς γάρ που δίκαιοί ἐσμεν σώσαντές σε κινδυνεύειν τοῦτον τὸν κίνδυνον καὶ ἐὰν δέῃ ἔτι τούτου μείζω. ,"since it is right for us to run this risk, and even greater risk than this, if necessary, provided we save you. ","for in order to save you, we ought surely to run this or even a greater risk;","Uns gebührt es ja wohl, über deiner Rettung diese Gefahr auf uns zu nehmen, und wenn es sein müßte, eine noch größere.",بی‌شک برما است نجات‌ات از آنچنان خطری و حتی با وجود خطری چنین بزرگتر .,"هرچه نباشد شرط انصاف است برای حراست از تو به‌جان‌خریدن این خطر , و در صورت لزوم , حتی [ خطرهای ] بزرگ‌تر .",زیرا درست است که نجات تو برای ما آشکارا خطری تهدیدآمیز است و نیز اگر لازم باشد از این سترگ تر [ انجام خواهیم داد ],برای اینکه بی‌شک جرئت انجام این خطر و حتی بزرگتر از آن، اگر نیاز باشد، برای نجات تو حق ما است.,زیرا به یقین بر ما فرض است با به جان خریدن این خطر و اگر نیاز باشد حتی خطرهایی بزرگ تر از این تو را رهانده باشیم . ,زیرا بی شک برای ما به چنین مخاطره ای خطر کردن و اگر لازم باشد حتی بزرگتر از آن برای نجات تو صحیح است . ,,,,
0059-003|54.|Cr.45a.3.,0059-003|48.|Cr.44e.1.,ἀλλ᾽ ἐμοὶ πείθου καὶ μὴ ἄλλως ποίει.,Now please do as I ask.,"be persuaded, then, and do as I say.","Also gehorche mir, und tue ja nicht anders.",حال از ما پیروی کن و پاسخ رد مده .,پس به من گوش کن و غیر این نکن .,لیکن تمنا دارم تا غیر آن نکنی .,با این حال به من اعتماد کن و بهانه متراش.,با این همه از من بپذیر و جز این مکن .,پس مرا بنیوش و کار دیگر مکن,لیکن به من گوش کن و جز این نکن .,پس مرا بنیوش و کار دیگر مکن,حال از من پیروی کن و پاسخ رد مده .,
0059-003|55.|Cr.45a.4.,0059-003|52.|Cr.45a.1.,"Σωκράτης. καὶ ταῦτα προμηθοῦμαι, ὦ Κρίτων, καὶ ἄλλα πολλά.","Socrates. I am considering this, Crito, and many other things.","Soc. Yes, Crito, that is one fear which you mention, but by no means the only one.",Sokrates: Auch darum bin ich besorgt; auch noch um vieles andere.,"و اینها را نیز درنظرمی‌گیرم , ای کریتون , و بسیاری دیگر را .",ای کریتون من این‌ها و موارد بسیار دیگری را لحاظ می‌کنم .,ای کریتون اینها را در نظر دارم و امور بسیار دیگر را .,"هم این را در نظر گرفته‌ام , ای کریتون , و هم خیلی چیزهای دیگر .","سقراط : ای کریتون به همه‌ی این ها اعتنا می‌کنم , و نیز به بسیاری چیزهای دیگر .",من این را در نظر دارم و بسی چیزهای دیگر .,سقراط: من این امور را در نظر دارم، ای کریتون، و بسی چیزهای دیگر را.,سقراط: این‌ها را لحاظ می‌کنم، ای کریتون، و نیز بسیاری دیگر را .,"سقراط: ای کریتون به همه‌ی این ها اعتنا می‌کنم , و نیز به بسیاری چیزهای دیگر.",
0059-003|56.|Cr.45a.5.,0059-003|53.|Cr.45a.2.,Κρίτων. μήτε τοίνυν ταῦτα φοβοῦ — καὶ γὰρ οὐδὲ πολὺ τἀργύριόν ἐστιν ὃ θέλουσι λαβόντες τινὲς σῶσαί σε καὶ ἐξαγαγεῖν ἐνθένδε. ,"Crito. Well, do not fear this! for it is not even a large sum of money which we should pay to some men who are willing to save you and get you away from here. ",Cr. Fear not. There are persons who at no great cost are willing to save you and bring you out of prison; ,"Kriton: Also weder dieses befürchte. Denn zuerst ist es nicht einmal viel Geld, wofür Einige dich retten und von hier wegführen wollen. ","با این حال از این مهراس , چرا که نه چندان پول بسیاری است آنچه دریافت‌کنندگان برای نجات دادن و به بیرون بردن تو از اینجا طلب می‌کنند .",بااین‌حال بیم این‌ها را نداشته باش ــ زیرا پولی که عده‌ای برای نجات و بردن تو از اینجا می‌خواهند بگیرند پشیزی بیش نیست .,"پس از این ترسان نباش . زیرا پولی که آن کسان باج گیرنده میخواهند , مقدار چندانی نیست برای نجات دادن تو و فراری دادن تو از اینجا . ","خب پس اینچنین هراسان مباش - و چرا که برای کسانی که قصد نجات دادن تو از دست باج بگیران و از اینجا بردن‌ات را دارند , سیم زیادی نیست . ","کریتون : باشد ; بیم این چیزها مکن . به رغم همه چیز , مدعیانی هم هستند که آن‌چه در ازای رهاندن و بردن تو از این جا طلب می‌کنند بهایی ناچیز است . ",بسیارخوب بیم اش به دل راه مده . زیرا کسانی که می خواهند تو را نجات دهند و از اینجای به در بَرَند نه چنان مال گزافی است که طلب می کنند .,,,,
0059-003|57.|Cr.45a.6.,0059-003|53.|Cr.45a.2.,"ἔπειτα οὐχ ὁρᾷς τούτους τοὺς συκοφάντας ὡς εὐτελεῖς, καὶ οὐδὲν ἂν δέοι ἐπ᾽ αὐτοὺς πολλοῦ ἀργυρίου;","Besides, don't you see how cheap these informers are, and that not much money would be needed to silence them?","and as for the informers, you may observe that they are far from being exorbitant in their demands; a little money will satisfy them. ","Und dann, siehst du nicht diese Angeber, wie wohlfeil sie sind, und wie gar nicht viel Geld für sie nötig sein würde? ","آنگاه براستی نمی‌بینی این جاسوسان چقدر کم‌بهایند , و پول بسیاری برای آنها لازم نخواهد بود؟","گذشته از این , نمی‌بینی این خبرچینان چه مفت‌‌اند و چه‌بسا برای اینان [ نیز ] خرده‌پولی بیش لازم نباشد .",و نیز آیا برای تو مشهود نیست خبرچین ها چه کم بها هستند و پول هنگفتی برای آنان لازم نخواهد بود ؟,از این رو درنمی‌یابی این خبرچینان چه سست عنصر ( سهل‌الپاداش ) بوده و برای آنان سیم زیادی لازم نباشد ؟,"در ثانی , نمی بینی که این قماشِ سوکُفانْتِس‌ها چه قدر راحت خریدنی‌ اند , پس شاید برای ساکت کردن شان سکه ی بسیار لازم نباشد .",به علاوه مگر نمیبینی که این سخن چینان چه ارزان و آسان پذیر ند و مالی گزاف لازم شان نخواهد بود ؟,گذشته از این، نمی‌بینی این خبرچینان چه مفت‌‌اند و چه‌بسا برای اینان [ نیز ] خرده‌پولی بیش لازم نباشد .,"در ثانی , نمی بینی که این قماشِ سوکُفانْتِس‌ها چه قدر راحت خریدنی‌ اند , پس شاید برای ساکت کردن شان سکه ی بسیار لازم نباشد .",به علاوه مگر نمیبینی که این سخن چینان چه ارزان و آسان پذیر ند و مالی گزاف لازم شان نخواهد بود ؟,
0059-003|58.|Cr.45b.1.,0059-003|58.|Cr.45b,"σοὶ δὲ ὑπάρχει μὲν τὰ ἐμὰ χρήματα, ὡς ἐγὼ οἶμαι, ἱκανά: ","And you have my money at your command, which is enough, I fancy; ","My means, which, as I am sure, are ample, are at your service,","Für dich also, glaube ich, würde auch mein Geldvorrat hinreichend sein. ",البته که دارایی من در اختیار تو است چنانکه می‌دانم [ دارایی‌ام ] کافی است : ,"ولیکن بی‌شک دارایی‌های ما , که فکر می‌کنم کافی است , برای تو حی‌وحاضر است / متعلق به توست . ",دارایی من در اختیار تو است و چنانچه میپندارم کافیست ;,,"ولیکن دارایی ‌ام در‌واقع برای تو مهیّاست که من گمان می‌کنم کافی باشد ,","باری براستی تو بر دارایی من که کافی می پندارم اش صاحب اختیاری , ",,,,
